X	Y	Data
0	0	0.476947
2905	0	0.189373
5810	0	0.033474
8715	0	0.095415
11620	0	0.054022
14525	0	0.055974
17430	0	0.115037
20335	0	0.066024
23240	0	0.078075
26145	0	0.238474
29050	0	0.305094
31955	0	0.539344
34860	0	0.077551
37765	0	0.085834
40670	0	0.141776
43575	0	0.084675
46480	0	0.031752
49385	0	0.078788
52290	0	0.027756
55195	0	0.133767
58100	0	0.341249
0	2905	0.236222
2905	2905	0.029659
5810	2905	0.101720
8715	2905	0.129693
11620	2905	0.058404
14525	2905	0.066622
17430	2905	0.155241
20335	2905	0.154190
23240	2905	0.056043
26145	2905	0.063567
29050	2905	0.116946
31955	2905	0.209076
34860	2905	0.039652
37765	2905	0.137093
40670	2905	0.149579
43575	2905	0.067728
46480	2905	0.049536
49385	2905	0.126376
52290	2905	0.110102
55195	2905	0.010183
58100	2905	0.159710
0	5810	0.034322
2905	5810	0.094042
5810	5810	0.185136
8715	5810	0.154142
11620	5810	0.061105
14525	5810	0.072189
17430	5810	0.171049
20335	5810	0.191467
23240	5810	0.136437
26145	5810	0.057579
29050	5810	0.031334
31955	5810	0.037563
34860	5810	0.101651
37765	5810	0.160567
40670	5810	0.149199
43575	5810	0.054576
46480	5810	0.062305
49385	5810	0.149506
52290	5810	0.161869
55195	5810	0.094556
58100	5810	0.024910
0	8715	0.068537
2905	8715	0.127697
5810	8715	0.156488
8715	8715	0.125579
11620	8715	0.046321
14525	8715	0.063851
17430	8715	0.140961
20335	8715	0.168452
23240	8715	0.124178
26145	8715	0.068651
29050	8715	0.040926
31955	8715	0.049169
34860	8715	0.091537
37765	8715	0.128955
40670	8715	0.115944
43575	8715	0.045153
46480	8715	0.055308
49385	8715	0.139486
52290	8715	0.162108
55195	8715	0.107176
58100	8715	0.029009
0	11620	0.062057
2905	11620	0.072905
5810	11620	0.071063
8715	11620	0.047943
11620	11620	0.013985
14525	11620	0.041559
17430	11620	0.072023
20335	11620	0.070228
23240	11620	0.038433
26145	11620	0.012255
29050	11620	0.029988
31955	11620	0.020517
34860	11620	0.021892
37765	11620	0.053422
40670	11620	0.061681
43575	11620	0.037022
46480	11620	0.024761
49385	11620	0.059231
52290	11620	0.065563
55195	11620	0.036215
58100	11620	0.020294
0	14525	0.026174
2905	14525	0.044682
5810	14525	0.059765
8715	14525	0.059390
11620	14525	0.036313
14525	14525	0.014803
17430	14525	0.011306
20335	14525	0.038482
23240	14525	0.066553
26145	14525	0.089348
29050	14525	0.098092
31955	14525	0.088941
34860	14525	0.063462
37765	14525	0.032126
40670	14525	0.002186
43575	14525	0.026203
46480	14525	0.041974
49385	14525	0.049671
52290	14525	0.072713
55195	14525	0.072788
58100	14525	0.091604
0	17430	0.084261
2905	17430	0.149268
5810	17430	0.177635
8715	17430	0.151455
11620	17430	0.070505
14525	17430	0.027344
17430	17430	0.092951
20335	17430	0.128143
23240	17430	0.133977
26145	17430	0.124420
29050	17430	0.116436
31955	17430	0.112801
34860	17430	0.108783
37765	17430	0.093547
40670	17430	0.052713
43575	17430	0.010195
46480	17430	0.074084
49385	17430	0.120917
52290	17430	0.137793
55195	17430	0.128986
58100	17430	0.113147
0	20335	0.052052
2905	20335	0.163748
5810	20335	0.221879
8715	20335	0.187855
11620	20335	0.075318
14525	20335	0.060888
17430	20335	0.136080
20335	20335	0.149819
23240	20335	0.114974
26145	20335	0.072130
29050	20335	0.056515
31955	20335	0.058223
34860	20335	0.086083
37765	20335	0.110329
40670	20335	0.090375
43575	20335	0.024024
46480	20335	0.070066
49385	20335	0.134165
52290	20335	0.145708
55195	20335	0.103738
58100	20335	0.045086
0	23240	0.073068
2905	23240	0.084254
5810	23240	0.169837
8715	23240	0.151234
11620	23240	0.046352
14525	23240	0.082640
17430	23240	0.140815
20335	23240	0.112430
23240	23240	0.024421
26145	23240	0.079549
29050	23240	0.119137
31955	23240	0.078082
34860	23240	0.011983
37765	23240	0.090916
40670	23240	0.108221
43575	23240	0.055258
46480	23240	0.037998
49385	23240	0.098720
52290	23240	0.090855
55195	23240	0.011884
58100	23240	0.105002
0	26145	0.237392
2905	26145	0.038254
5810	26145	0.102110
8715	26145	0.103194
11620	26145	0.007014
14525	26145	0.120342
17430	26145	0.152514
20335	26145	0.073887
23240	26145	0.080222
26145	26145	0.210847
29050	26145	0.258870
31955	26145	0.195328
34860	26145	0.066477
37765	26145	0.068801
40670	26145	0.119460
43575	26145	0.083440
46480	26145	0.004906
49385	26145	0.053567
52290	26145	0.031748
55195	26145	0.085936
58100	26145	0.237876
0	29050	0.309465
2905	29050	0.100202
5810	29050	0.054053
8715	29050	0.063876
11620	29050	0.025677
14525	29050	0.139457
17430	29050	0.155692
20335	29050	0.055481
23240	29050	0.130842
26145	29050	0.269764
29050	29050	0.315004
31955	29050	0.241820
34860	29050	0.090527
37765	29050	0.063980
40670	29050	0.129271
43575	29050	0.098350
46480	29050	0.016813
49385	29050	0.040864
52290	29050	0.022293
55195	29050	0.110589
58100	29050	0.279877
0	31955	0.244251
2905	31955	0.067358
5810	31955	0.058313
8715	31955	0.066011
11620	31955	0.027686
14525	31955	0.138707
17430	31955	0.162185
20335	31955	0.075624
23240	31955	0.086892
26145	31955	0.212753
29050	31955	0.251873
31955	31955	0.183760
34860	31955	0.044232
37765	31955	0.090115
40670	31955	0.139492
43575	31955	0.093465
46480	31955	0.012110
49385	31955	0.073262
52290	31955	0.057959
55195	31955	0.046968
58100	31955	0.196318
0	34860	0.120831
2905	34860	0.035883
5810	34860	0.117502
8715	34860	0.108584
11620	34860	0.023928
14525	34860	0.111616
17430	34860	0.174390
20335	34860	0.133244
23240	34860	0.018751
26145	34860	0.083065
29050	34860	0.114106
31955	34860	0.060314
34860	34860	0.044376
37765	34860	0.133223
40670	34860	0.145977
43575	34860	0.074055
46480	34860	0.045301
49385	34860	0.128417
52290	34860	0.134457
55195	34860	0.061629
58100	34860	0.058329
0	37765	0.062428
2905	37765	0.134617
5810	37765	0.176844
8715	37765	0.151373
11620	37765	0.063554
14525	37765	0.061069
