X	Y	Data
0	0	0.484144
1936	0	0.267838
3872	0	0.076610
5808	0	0.065247
7744	0	0.126484
9680	0	0.116541
11616	0	0.048010
13552	0	0.058983
15488	0	0.147914
17424	0	0.188614
19360	0	0.155995
21296	0	0.051212
23232	0	0.089031
25168	0	0.241936
27104	0	0.337173
29040	0	0.375069
30976	0	0.353206
32912	0	0.275976
34848	0	0.063132
36784	0	0.065165
38720	0	0.153753
40656	0	0.175451
42592	0	0.128905
44528	0	0.045454
46464	0	0.047535
48400	0	0.103639
50336	0	0.104384
52272	0	0.044511
54208	0	0.078884
56144	0	0.242205
58080	0	0.406030
58100	0	0.404989
0	1936	0.312137
1936	1936	0.131771
3872	1936	0.026728
5808	1936	0.127002
7744	1936	0.165936
9680	1936	0.138427
11616	1936	0.057114
13552	1936	0.060378
15488	1936	0.158707
17424	1936	0.212355
19360	1936	0.201323
21296	1936	0.122779
23232	1936	0.012678
25168	1936	0.113666
27104	1936	0.200931
29040	1936	0.229608
30976	1936	0.142101
32912	1936	0.280528
34848	1936	0.029798
36784	1936	0.131783
38720	1936	0.190541
40656	1936	0.188051
42592	1936	0.127461
44528	1936	0.033914
46464	1936	0.073446
48400	1936	0.139853
50336	1936	0.157885
52272	1936	0.111423
54208	1936	0.020897
56144	1936	0.117159
58080	1936	0.272342
58100	1936	0.271640
0	3872	0.149108
1936	3872	0.012556
3872	3872	0.108043
5808	3872	0.182767
7744	3872	0.204970
9680	3872	0.152291
11616	3872	0.067181
13552	3872	0.057313
15488	3872	0.161718
17424	3872	0.224786
19360	3872	0.234860
21296	3872	0.180558
23232	3872	0.107903
25168	3872	0.022197
27104	3872	0.079281
29040	3872	0.098608
30976	3872	0.069349
32912	3872	0.028246
34848	3872	0.103691
36784	3872	0.186080
38720	3872	0.223230
40656	3872	0.199652
42592	3872	0.123692
44528	3872	0.026534
46464	3872	0.085658
48400	3872	0.164284
50336	3872	0.196924
52272	3872	0.172905
54208	3872	0.100682
56144	3872	0.026421
